,word,count
238,stayhomesavelives,1
241,represents,1
242,epicenter,1
243,nation,1
245,32000,1
247,700,1
250,24,1
251,hours,1
252,161,1
303,sniffle,1
304,answer,1
305,questions,1
306,apple,1
352,517,1
353,fatalities,1
354,along,1
356,29158,1
358,mister,1
360,worth,1
361,watching,1
362,quarantines,1
363,fred,1
365,cultural,1
366,antidote,1
367,coronavirususa,1
369,stayathomeandstaysafe,1
370,saturdaymotivation,1
372,remains,1
373,1421,1
375,changes,1
376,modeling,1
377,forecasts,1
379,members,1
380,held,1
385,inadequate,1
386,ppe,1
387,staffing,1
388,supplies,1
350,67,1
347,statewide,1
345,728,1
320,already,1
307,app,1
308,stayathome,1
309,selfisolate,1
310,95,1
311,set,1
312,reminder,1
313,premiere,1
314,chat,1
315,9am,1
316,est,1
317,fauci,1
323,stream,1
344,reports,1
324,coronavirusmemes,1
325,gifs,1
326,haircuts,1
328,saturdaythoughts,1
330,coronaviruspandemic,1
332,spoke,1
333,marklevinenyc,1
338,whitehouse,1
340,espanol,1
341,ny1noticias,1
342,52318,1
208,calling,1
206,scene,1
390,petty,1
63,thelockdown,1
67,phone,1
69,infection,1
70,advice,1
71,neither,1
73,19,1
74,laboratory,1
77,office,1
78,visit,1
81,navy,1
82,sailor,1
83,stands,1
84,front,1
86,arrived,1
90,photography,1
92,groups,1
94,ignoring,1
97,spots,1
101,told,1
102,disperse,1
106,east,1
107,meadow,1
108,central,1
109,park,1
110,handle,1
113,nearby,1
64,speaking,1
62,middle,1
205,paper,1
61,mine,1
3,sense,1
4,american,1
5,pride,1
7,images,1
9,hospitalship,1
12,reuters,1
27,seventeen,1
28,17,1
29,igshid1eyniv6y3eqoa,1
32,discuss,1
33,firstresponders,1
38,given,1
39,full,1
40,line,1
41,duty,1
42,death,1
43,benefits,1
45,contracts,1
46,succumb,1
48,contracted,1
51,period,1
53,make,1
54,ish,1
58,hair,1
59,blowing,1
114,mount,1
115,sinai,1
116,godspeed,1
117,madness,1
161,virus,1
162,rapidly,1
166,sunday,1
167,33474,1
168,citywide,1
169,sadly,1
170,776people,1
172,6250,1
174,8887,1
175,5582,1
177,10737,1
179,1984,1
184,stopthespread,1
185,silver,1
186,lining,1
188,printed,1
189,thekingscollege,1
191,papers,1
192,marked,1
193,handed,1
195,person,1
196,forced,1
199,digitally,1
201,lms,1
202,works,1
160,indeed,1
159,camp,1
158,enters,1
137,dock,1
118,shout,1
120,beatthebombnyc,1
121,donating,1
123,protective,1
124,suits,1
126,face,1
127,shields,1
130,kerrydrewtv,1
131,biancapeters8,1
135,hudson,1
136,river,1
139,mondaymorning,1
156,stop,1
140,usnavy,1
143,march,1
145,icrc,1
146,conflict,1
147,zones,1
148,thread,1
149,displacement,1
150,camps,1
151,physical,1
152,distancing,1
155,impossible,1
389,sean,1
391,rn,1
698,anecdotally,1
595,source,1
597,five,1
601,igshid1r3norlhrvvov,1
602,remember,1
603,amazing,1
605,learning,1
606,teaching,1
607,newsrooms,1
608,surviving,1
609,throwbackthursday,1
611,61,1
612,heading,1
615,riders,1
616,including,1
617,subway,1
619,improvising,1
620,scarf,1
621,news12bx,1
622,news12bk,1
623,want,1
625,tweets,1
627,suggest,1
628,accts,1
629,nypdnews,1
630,cdcgov,1
631,nychealthy,1
596,increased,1
594,italy,1
548,13,1
592,1,1
553,neighbors,1
554,happy,1
556,emt,1
557,unions,1
558,reporting,1
559,surge,1
561,man,1
562,appears,1
563,pray,1
564,waits,1
565,news,1
566,coronavirusoubreak,1
567,coronavirusny,1
568,biggest,1
569,regret,1
571,post,1
572,warning,1
574,easily,1
575,predictable,1
577,act,1
578,aggressively,1
1,photos,1
581,saved,1
582,colossal,1
584,leadership,1
632,nychealthcommr,1
633,nychealthsystem,1
634,us_fda,1
635,hashtags,1
671,mentioned,1
672,ventilator,1
673,less,1
674,chance,1
675,pulling,1
676,noah,1
677,survived,1
678,flood,1
679,killed,1
680,else,1
683,nights,1
684,waters,1
685,recede,1
686,america,1
687,hold,1
688,easterbunny,1
689,celebrities,1
690,peddling,1
691,antivaxx,1
692,theories,1
693,claimed,1
694,huge,1
695,lockdowns,1
696,beyond,1
697,reprehensible,1
670,5k,1
669,37k,1
667,interactions,1
650,34,1
636,sarscov2,1
637,37258,1
638,5327,1
